in_dma_act,151872,415872,32,8,401408,200704,1247616,96,4,301056,75264,484416,144,6,451584,75264,518400,144,6,112896,31360,245760,240,10,188160,31360,216000,240,10,47040,15680,94080,480,20,94080,15680,94080,480,20,94080,15680,94080,480,20,94080,21952,131712,672,28,131712,21952,131712,672,28,131712,21952,131712,672,28,32928,9408,56448,1152,48,56448,9408,56448,1152,48,56448,9408,56448,1152,48,56448,9408,56448,1152,48,56448,15680
in_dma_wgt,864,288,256,256,512,38400,21600,384,384,2304,31104,11664,864,864,31104,31104,32400,864,864,23040,38400,24000,2400,2400,38400,38400,8640,2400,2400,19200,38400,4320,9600,9600,38400,38400,4320,9600,9600,38400,38400,12000,9600,9600,53760,75264,16800,18816,18816,75264,75264,16800,18816,18816,75264,75264,16800,18816,18816,129024,221184,28800,55296,55296,221184,221184,28800,55296,55296,221184,221184,28800,55296,55296,221184,221184,10368,55296,55296,368640,409600
out_dma_act,743008,346112,8,32,200704,1204224,565056,4,96,75264,451584,389376,6,144,75264,451584,194400,6,144,31360,188160,138240,10,240,31360,188160,94080,10,240,15680,94080,69120,20,480,15680,94080,69120,20,480,15680,94080,48000,20,480,21952,131712,67200,28,672,21952,131712,67200,28,672,21952,131712,40320,28,672,9408,56448,10368,48,1152,9408,56448,10368,48,1152,9408,56448,10368,48,1152,9408,56448,28800,48,1152,15680,62720
mem_wgt,864,288,256,256,512,896,504,384,224,2304,1344,504,672,336,2688,1344,1400,672,336,4480,2240,1400,1120,560,4480,2240,504,1120,560,6272,4480,504,2240,1120,6272,4480,504,2240,1120,6272,4480,1400,2240,1120,6272,6272,1400,3136,1568,6272,6272,1400,3136,1568,6272,6272,1400,3136,1568,6272,6272,1400,5376,2688,6272,6272,1400,5376,2688,6272,6272,1400,5376,2688,6272,6272,504,5376,2688,6272,6272
mem_in_act,2187,23328,32,8,23328,11664,40824,96,4,69984,17496,40824,112,6,81648,17496,40824,112,6,81648,29160,40824,112,10,81648,29160,40824,112,10,21952,15680,10976,112,20,21952,15680,10976,112,20,21952,15680,10976,112,20,21952,21952,10976,112,28,21952,21952,10976,112,28,21952,21952,10976,112,28,5488,5488,2744,112,48,5488,5488,2744,112,48,5488,5488,2744,112,48,5488,5488,2744,112,48,5488,5488
mem_out_act,10816,20000,8,32,11664,69984,18928,4,96,17496,104976,35000,6,144,17496,104976,16800,6,144,29160,174960,29624,10,240,29160,174960,18928,10,240,15680,94080,8064,20,480,15680,94080,8064,20,480,15680,94080,5600,20,480,21952,131712,5600,28,672,21952,131712,5600,28,672,21952,131712,3360,28,672,9408,56448,504,48,1152,9408,56448,504,48,1152,9408,56448,504,48,1152,9408,56448,1400,48,1152,15680,62720
mem_partial_product,0,0,0,0,0,0,0,0,0,0,0,0,6,0,17496,0,0,6,0,29160,0,0,10,0,29160,0,0,10,0,10976,0,0,20,0,10976,0,0,20,0,10976,0,0,20,0,10976,0,0,28,0,10976,0,0,28,0,10976,0,0,28,0,2744,2744,0,48,0,2744,2744,0,48,0,2744,2744,0,48,0,2744,2744,0,48,0,2744,2744
mem_wgt_accesses,864,288,256,256,512,38400,21600,384,384,2304,31104,11664,864,864,31104,31104,32400,864,864,23040,38400,24000,2400,2400,38400,38400,8640,2400,2400,19200,38400,4320,9600,9600,38400,38400,4320,9600,9600,38400,38400,12000,9600,9600,53760,75264,16800,18816,18816,75264,75264,16800,18816,18816,75264,75264,16800,18816,18816,129024,221184,28800,55296,55296,221184,221184,28800,55296,55296,221184,221184,28800,55296,55296,221184,221184,10368,55296,55296,368640,409600
mem_in_act_accesses,370188,1554048,64,16,802816,602112,3031488,192,12,602112,301056,1787328,288,24,903168,301056,1607040,288,24,225792,188160,1167360,480,60,376320,188160,518400,480,60,141120,156800,336000,960,200,282240,156800,336000,960,200,282240,156800,430080,960,200,282240,285376,602112,1344,364,395136,285376,602112,1344,364,395136,285376,376320,1344,364,164640,206976,177408,2304,1056,282240,206976,177408,2304,1056,282240,206976,177408,2304,1056,282240,206976,177408,2304,1056,395136,376320
mem_out_act_accesses,1486016,692224,16,64,401408,2408448,1130112,8,192,150528,903168,778752,18,288,225792,903168,388800,18,288,94080,376320,276480,40,480,125440,376320,188160,40,480,62720,188160,138240,120,960,94080,188160,138240,120,960,94080,188160,96000,120,960,131712,263424,134400,196,1344,153664,263424,134400,196,1344,153664,263424,80640,196,1344,65856,169344,20736,576,2304,112896,169344,20736,576,2304,112896,169344,20736,576,2304,112896,169344,57600,576,2304,188160,250880
