,bench,buffer_KB,ctc100,cxx,dnn_name,fx,global_cycles,hxx,mac_utilization,pw1_engines,total_energy,total_mac_units,wxx
58,FCHWSchedule,239.42,12.44,8.0,pw1,70.0,57591.0,56.0,1.0,100.0,196570368.0,4900.0,56.0
59,FCHWSchedule,441.55,6.22,4.0,pw1,140.0,135417.0,56.0,0.51,100.0,239602560.0,4900.0,56.0
60,FCHWSchedule,122.67,7.67,5.0,pw1,35.0,238505.0,56.0,0.75,100.0,225588572.16,4900.0,56.0
61,FCHWSchedule,230.03,7.67,5.0,pw1,70.0,143985.0,56.0,0.67,100.0,211157176.32,4900.0,56.0
62,FCHWSchedule,33.71,12.43,8.0,pw1,3.0,909360.0,56.0,0.0,100.0,907999787.52,4900.0,56.0
63,FCHWSchedule,21.44,9.32,6.0,pw1,1.0,4546944.0,56.0,0.0,100.0,2480409365.76,4900.0,56.0
64,FCHWSchedule,113.64,20.74,16.0,pw1,21.0,66598.0,56.0,1.67,100.0,243370168.32,4900.0,56.0
65,FCHWSchedule,9.19,3.11,2.0,pw1,1.0,35468928.0,56.0,0.0,100.0,2523761429.76,4900.0,56.0
66,FCHWSchedule,451.14,10.26,7.0,pw1,140.0,64482.0,56.0,0.9,100.0,206749824.0,4900.0,56.0
67,FCHWSchedule,447.95,9.33,6.0,pw1,140.0,64482.0,56.0,0.51,100.0,206749824.0,4900.0,56.0
68,FCHWSchedule,492.25,20.73,16.0,pw1,144.0,9892.0,56.0,1.66,100.0,166069632.0,4900.0,56.0
69,FCHWSchedule,264.47,20.74,16.0,pw1,70.0,28794.0,56.0,1.44,100.0,186071040.0,4900.0,56.0
70,FCHWSchedule,156.28,3.11,2.0,pw1,49.0,748764.0,56.0,0.0,100.0,293993902.08,4900.0,56.0
71,FCHWSchedule,88.98,12.44,8.0,pw1,21.0,133203.0,56.0,1.0,100.0,248920412.16,4900.0,56.0
72,FCHWSchedule,27.58,9.32,6.0,pw1,3.0,1515648.0,56.0,0.0,100.0,905290283.52,4900.0,56.0
