,bench,buffer_KB,ctc100,cxx,dnn_name,fx,global_cycles,hxx,mac_utilization,pw1_engines,total_energy,total_mac_units,wxx
0,FCHWSchedule,10.58,7.36,5.0,pw2,49.0,3528488.0,56.0,1.0,100.0,100037683.2,4900.0,56.0
1,FCHWSchedule,100.07,519.66,512.0,pw2,3.0,108256.0,56.0,22.0,100.0,880663296.0,4900.0,56.0
2,FCHWSchedule,19.8,7.41,5.0,pw2,144.0,2096758.0,56.0,1.0,100.0,75824486.4,4900.0,56.0
3,FCHWSchedule,9.86,2.94,2.0,pw2,49.0,21639744.0,56.0,0.0,100.0,136398858.24,4900.0,56.0
4,FCHWSchedule,30.02,94.21,64.0,pw2,70.0,23382.0,56.0,8.0,100.0,89601024.0,4900.0,56.0
5,FCHWSchedule,1.55,7.16,5.0,pw2,3.0,47335424.0,56.0,0.0,100.0,838004275.2,4900.0,56.0
6,FCHWSchedule,147.19,507.34,1024.0,pw2,49.0,2628.0,56.0,74.9,100.0,67191168.0,4900.0,56.0
7,FCHWSchedule,112.51,37.85,1024.0,pw2,3.0,8518.0,56.0,34.99,100.0,133235328.0,4900.0,56.0
8,FCHWSchedule,70.63,329.73,256.0,pw2,49.0,10248.0,56.0,28.89,100.0,89601024.0,4900.0,56.0
9,FCHWSchedule,79.9,329.73,256.0,pw2,70.0,10248.0,56.0,29.21,100.0,89601024.0,4900.0,56.0
10,FCHWSchedule,15.48,11.78,8.0,pw2,70.0,1366416.0,56.0,1.0,100.0,102809856.0,4900.0,56.0
11,FCHWSchedule,2.73,10.22,7.0,pw2,7.0,10638110.0,56.0,0.07,100.0,387623884.8,4900.0,56.0
12,FCHWSchedule,91.38,331.82,256.0,pw2,140.0,6132.0,56.0,31.49,100.0,64312320.0,4900.0,56.0
13,FCHWSchedule,14.96,8.83,6.0,pw2,70.0,2420928.0,56.0,1.0,100.0,95919974.4,4900.0,56.0
14,FCHWSchedule,11.05,10.3,7.0,pw2,49.0,1812554.0,56.0,1.0,100.0,92984678.4,4900.0,56.0
15,FCHWSchedule,7.6,5.87,4.0,pw2,35.0,7631208.0,56.0,0.33,100.0,130971187.2,4900.0,56.0
16,FCHWSchedule,54.88,183.29,128.0,pw2,144.0,8468.0,56.0,17.38,100.0,64086528.0,4900.0,56.0
17,FCHWSchedule,146.4,533.85,512.0,pw2,70.0,8296.0,56.0,47.23,100.0,94008576.0,4900.0,56.0
18,FCHWSchedule,20.66,11.85,8.0,pw2,140.0,811980.0,56.0,1.0,100.0,78198528.0,4900.0,56.0
19,FCHWSchedule,8.28,10.27,7.0,pw2,35.0,2548017.0,56.0,1.0,100.0,117197875.2,4900.0,56.0
20,FCHWSchedule,6.35,45.39,32.0,pw2,1.0,3576960.0,56.0,1.0,100.0,2397181624.32,4900.0,56.0
21,FCHWSchedule,0.96,2.87,2.0,pw2,3.0,290304000.0,56.0,0.0,100.0,840424765.44,4900.0,56.0
22,FCHWSchedule,7.83,7.34,5.0,pw2,35.0,4960218.0,56.0,1.0,100.0,124649011.2,4900.0,56.0
23,FCHWSchedule,1.74,2.92,2.0,pw2,7.0,127008000.0,56.0,0.0,100.0,417904711.68,4900.0,56.0
