,bench,buffer_KB,ctc100,cxx,dnn_name,fx,global_cycles,hxx,mac_utilization,pw1_engines,total_energy,total_mac_units,wxx
49,FCHWSchedule,27.58,9.27,6.0,conv1,3.0,4585174.0,56.0,0.0,100.0,1034000056.3199999,4900.0,56.0
50,FCHWSchedule,12.25,1.55,1.0,conv1,3.0,144508672.0,56.0,0.0,100.0,1161640796.1599998,4900.0,56.0
51,FCHWSchedule,414.25,123.73,64.0,conv1,70.0,3712.0,56.0,75.0,100.0,317651840.0,4900.0,56.0
52,FCHWSchedule,199.12,1.55,1.0,conv1,144.0,6699616.0,56.0,0.0,100.0,428740976.64,4900.0,56.0
53,FCHWSchedule,18.38,4.65,3.0,conv1,3.0,17576944.0,56.0,0.0,100.0,1060485980.16,4900.0,56.0
54,FCHWSchedule,33.25,13.46,8.0,conv1,3.0,2326720.0,56.0,3.86,100.0,1313040281.6,4900.0,56.0
55,FCHWSchedule,211.62,7.75,5.0,conv1,70.0,293098.0,56.0,1.0,100.0,160244613.12,4900.0,56.0
56,FCHWSchedule,36.78,7.76,5.0,conv1,7.0,2873650.0,56.0,0.0,100.0,513789296.64,4900.0,56.0
57,FCHWSchedule,315.36,62.6,64.0,conv1,35.0,6416.0,56.0,67.0,100.0,324290816.0,4900.0,56.0
58,FCHWSchedule,202.25,3.11,2.0,conv1,144.0,1700656.0,56.0,0.0,100.0,260177633.28,4900.0,56.0
59,FCHWSchedule,24.51,7.75,5.0,conv1,3.0,6322030.0,56.0,0.0,100.0,1038809948.16,4900.0,56.0
60,FCHWSchedule,162.5,6.22,4.0,conv1,49.0,866560.0,56.0,0.0,100.0,219691458.56,4900.0,56.0
61,FCHWSchedule,217.88,10.7,7.0,conv1,70.0,177145.0,56.0,0.98,100.0,144439173.12,4900.0,56.0
62,FCHWSchedule,165.61,7.75,5.0,conv1,49.0,579826.0,56.0,0.99,100.0,203886018.56,4900.0,56.0
63,FCHWSchedule,153.17,1.55,1.0,conv1,49.0,13253632.0,56.0,0.0,100.0,472494448.64,4900.0,56.0
64,FCHWSchedule,101.13,53.54,32.0,conv1,1.0,563968.0,56.0,6.0,100.0,3704723763.2,4900.0,56.0
65,FCHWSchedule,113.38,3.11,2.0,conv1,35.0,3364352.0,56.0,0.0,100.0,259224289.28,4900.0,56.0
66,FCHWSchedule,214.75,9.27,6.0,conv1,70.0,212575.0,56.0,1.0,100.0,149707653.12,4900.0,56.0
67,FCHWSchedule,156.28,3.11,2.0,conv1,49.0,3364352.0,56.0,0.0,100.0,303931105.28,4900.0,56.0
68,FCHWSchedule,199.41,1.97,64.0,conv1,1.0,188176.0,56.0,12.0,100.0,1266430976.0,4900.0,56.0
69,FCHWSchedule,240.25,30.93,16.0,conv1,140.0,30006.0,56.0,19.0,100.0,316356416.0,4900.0,56.0
70,FCHWSchedule,21.45,6.21,4.0,conv1,3.0,9448384.0,56.0,0.0,100.0,1046035292.16,4900.0,56.0
71,FCHWSchedule,207.51,57.74,32.0,conv1,35.0,17792.0,56.0,33.5,100.0,360467584.0,4900.0,56.0
