in_dma_act,225792
in_dma_wgt,3456
out_dma_act,451584
mem_wgt,392
mem_in_act,25088
mem_out_act,153664
mem_partial_product,153664
mem_wgt_accesses,196992
mem_in_act_accesses,451584
mem_out_act_accesses,1806336
mem_partial_product_acceses,0
in_rf_act_accesses,225792
out_rf_act_accesses,2709504
wgt_rf_accesses,387072
in_rf_act_size,700
out_rf_act_size,700
wgt_rf_size,4900
padd_ops,903168
padd_cycles_max_per_batch,2
padd_util_cycles,7
padd_cycles,9
padd_units_available,700
total_padd_units,700
mac_util_cycles,575
total_mac_units,4900
cycles_max_per_batch,9599
dma_cycles,7164
mac_units_available,4900
is_dma_cycle_selected,0
is_mac_cycle_selected,9
mac_cycles,57582
timing_cycles,0
cycles_total,57591
global_cycles,57591
-hx-wx-cx-mac_wx-mac_wx_type-mac_cx-hxx-wxx-cxx-fx-mac_wxx-mac_wxx_type-mac_cxx-mac_fx-dma_cycles-hxx2-wxx2-cxx2-fx2-mac_wxx2-mac_wxx2_type-mac_cxx2-mac_fx2,0,0,0,0,0,0,56,56,8,49,100,7,0,0,0.015625,0,0,0,0,0,0,0,0
