in_dma_act,150528,415872,32,8,401408,200704,0,0,4,301056,75264,0,0,6,451584,75264,0,0,6,112896,31360,0,0,10,188160,31360,0,0,10,47040,15680,0,0,20,94080,15680,0,0,20,94080,15680,0,0,20,94080,21952,0,0,28,131712,21952,0,0,28,131712,21952,0,0,28,32928,9408,0,0,48,56448,9408,0,0,48,56448,9408,0,0,48,56448,9408,0,0,48,56448,15680
in_dma_wgt,864,288,256,256,512,98304,55296,24576,384,2304,55296,20736,13824,864,3456,55296,57600,13824,864,5760,38400,24000,9600,2400,9600,38400,8640,14400,2400,19200,38400,4320,9600,9600,38400,38400,4320,9600,9600,38400,38400,12000,9600,9600,53760,75264,16800,18816,18816,75264,75264,16800,18816,18816,75264,75264,16800,18816,18816,129024,221184,28800,55296,55296,221184,221184,28800,55296,55296,221184,221184,28800,55296,55296,221184,221184,10368,55296,55296,368640,409600
out_dma_act,718848,307328,8,32,200704,0,0,21632,96,75264,0,0,13824,144,75264,0,0,6336,144,31360,0,0,4000,240,31360,0,0,3380,240,15680,0,0,2880,480,15680,0,0,2880,480,15680,0,0,2000,480,21952,0,0,2800,672,21952,0,0,2800,672,21952,0,0,1680,672,9408,0,0,432,1152,9408,0,0,432,1152,9408,0,0,432,1152,9408,0,0,1200,1152,15680,62720
mem_wgt,864,288,256,256,512,1536,864,384,384,2304,2688,1008,672,864,3456,2688,2800,672,864,5760,4480,2800,1120,2400,9600,4480,1008,1120,2400,19200,8960,1008,2240,6720,26880,8960,1008,2240,6720,26880,8960,2800,2240,6720,37632,12544,2800,3136,9408,37632,12544,2800,3136,9408,37632,12544,2800,3136,9408,64512,21504,2800,5376,16128,64512,21504,2800,5376,16128,64512,21504,2800,5376,16128,64512,21504,1008,5376,16128,107520,107520
mem_in_act,2352,7200,32,8,25088,3600,0,0,4,75264,5400,0,0,6,112896,5400,0,0,6,112896,9000,0,0,10,188160,9000,0,0,10,47040,15680,0,0,20,65856,15680,0,0,20,65856,15680,0,0,20,65856,21952,0,0,28,65856,21952,0,0,28,65856,21952,0,0,28,16464,9408,0,0,48,16464,9408,0,0,48,16464,9408,0,0,48,16464,9408,0,0,48,16464,15680
mem_out_act,11232,5408,8,32,12544,0,9408,364,96,18816,0,18928,1014,144,18816,0,8736,468,144,31360,0,13552,1210,240,31360,0,10976,910,240,15680,0,16128,2880,480,15680,0,16128,2880,480,15680,0,11200,2000,480,21952,0,11200,2800,672,21952,0,11200,2800,672,21952,0,6720,1680,672,9408,0,1008,432,1152,9408,0,1008,432,1152,9408,0,1008,432,1152,9408,0,2800,1200,1152,15680,62720
mem_partial_product,0,0,0,0,0,0,0,0,0,0,0,0,1014,0,0,0,0,468,0,0,0,0,1210,0,0,0,0,910,0,0,0,0,2880,0,15680,0,0,2880,0,15680,0,0,2000,0,21952,0,0,2800,0,21952,0,0,2800,0,21952,0,0,1680,0,9408,0,0,432,0,9408,0,0,432,0,9408,0,0,432,0,9408,0,0,1200,0,15680,0
mem_wgt_accesses,864,288,256,256,512,98304,55296,24576,384,2304,55296,20736,13824,864,3456,55296,57600,13824,864,5760,38400,24000,9600,2400,9600,38400,8640,14400,2400,19200,38400,4320,9600,9600,38400,38400,4320,9600,9600,38400,38400,12000,9600,9600,53760,75264,16800,18816,18816,75264,75264,16800,18816,18816,75264,75264,16800,18816,18816,129024,221184,28800,55296,55296,221184,221184,28800,55296,55296,221184,221184,28800,55296,55296,221184,221184,10368,55296,55296,368640,409600
mem_in_act_accesses,365568,1488384,64,16,802816,401408,1677312,519168,8,602112,225792,1161216,331776,12,903168,225792,887040,152064,12,225792,125440,672000,96000,20,376320,125440,262080,81120,20,94080,94080,241920,69120,60,188160,94080,241920,69120,60,188160,94080,336000,48000,60,188160,153664,470400,67200,84,263424,153664,470400,67200,84,263424,153664,244608,40320,84,65856,112896,120960,10368,240,112896,112896,120960,10368,240,112896,112896,120960,10368,240,112896,112896,120960,28800,240,112896,78400
mem_out_act_accesses,1437696,614656,16,64,401408,1204224,519168,43264,192,150528,451584,331776,41472,288,150528,451584,152064,19008,288,62720,188160,96000,16000,480,62720,188160,81120,13520,480,31360,94080,69120,17280,960,47040,94080,69120,17280,960,47040,94080,48000,12000,960,65856,131712,67200,19600,1344,65856,131712,67200,19600,1344,65856,131712,40320,11760,1344,28224,56448,10368,5184,2304,47040,56448,10368,5184,2304,47040,56448,10368,5184,2304,47040,56448,28800,14400,2304,78400,125440
mem_partial_product_acceses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in_rf_act_accesses,2291712,1636992,32,8,401408,200704,2156544,519168,4,301056,150528,1769472,331776,6,451584,150528,1305216,152064,6,112896,94080,1017600,96000,10,188160,94080,336960,81120,10,47040,78400,368640,69120,40,94080,78400,368640,69120,40,94080,78400,508800,48000,40,94080,131712,712320,67200,56,131712,131712,712320,67200,56,131712,131712,355488,40320,56,32928,103488,148608,10368,192,56448,103488,148608,10368,192,56448,103488,148608,10368,192,56448,103488,167040,28800,192,56448,62720
out_rf_act_accesses,718848,307328,40,64,1003520,3612672,519168,302848,96,1053696,1806336,331776,290304,144,1580544,1806336,152064,133056,144,658560,1128960,96000,140000,480,1097600,1128960,81120,118300,480,548800,1128960,69120,198720,1440,1081920,1128960,69120,198720,1440,1081920,1128960,48000,138000,1440,1514688,2107392,67200,268800,2688,2107392,2107392,67200,268800,2688,2107392,2107392,40320,161280,2688,903168,1580544,10368,71280,8064,1552320,1580544,10368,71280,8064,1552320,1580544,10368,71280,8064,1552320,1580544,28800,198000,8064,2587200,2885120
wgt_rf_accesses,2211840,451584,512,512,458752,2752512,1078272,619008,768,516096,1548288,497664,331776,1728,774144,1548288,1008000,241920,1728,322560,1075200,480000,192000,4800,537600,1075200,168480,218400,4800,537600,1075200,103680,230400,19200,1075200,1075200,103680,230400,19200,1075200,1075200,240000,192000,19200,1505280,2107392,336000,376320,37632,2107392,2107392,336000,376320,37632,2107392,2107392,285600,319872,37632,1806336,3096576,172800,331776,110592,3096576,3096576,172800,331776,110592,3096576,3096576,172800,331776,110592,3096576,3096576,103680,552960,110592,5160960,5734400
in_rf_act_size,98,147,98,98,98,56,441,42,98,98,56,504,42,98,98,56,1400,42,98,98,56,1400,42,98,98,56,504,42,98,98,56,504,42,98,98,56,504,42,98,98,56,1400,42,98,98,56,1400,42,98,98,56,1400,42,98,98,56,1400,42,98,98,56,1400,42,98,98,56,1400,42,98,98,56,1400,42,98,98,56,504,42,98,98,98
out_rf_act_size,98,49,98,98,98,56,147,42,98,98,56,168,42,98,98,56,280,42,98,98,56,280,42,98,98,56,168,42,98,98,56,168,42,98,98,56,168,42,98,98,56,280,42,98,98,56,280,42,98,98,56,280,42,98,98,56,280,42,98,98,56,280,42,98,98,56,280,42,98,98,56,280,42,98,98,56,168,42,98,98,98
wgt_rf_size,6174,63,686,686,686,392,189,294,686,686,392,216,294,686,686,392,1000,294,686,686,392,1000,294,686,686,392,216,294,686,686,392,216,294,686,686,392,216,294,686,686,392,1000,294,686,686,392,1000,294,686,686,392,1000,294,686,686,392,1000,294,686,686,392,1000,294,686,686,392,1000,294,686,686,392,1000,294,686,686,392,216,294,686,686,686
padd_ops,0,0,0,0,0,0,0,0,0,0,0,0,13824,0,0,0,0,6336,0,0,0,0,8000,0,0,0,0,6760,0,0,0,0,11520,0,15680,0,0,11520,0,15680,0,0,8000,0,21952,0,0,14000,0,21952,0,0,14000,0,21952,0,0,8400,0,9408,0,0,4320,0,28224,0,0,4320,0,28224,0,0,4320,0,28224,0,0,12000,0,47040,0
padd_cycles_max_per_batch,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0
padd_util_cycles,0,0,0,0,0,0,0,0,0,0,0,0,13.714285714285715,0,0,0,0,13.714285714285715,0,0,0,0,5.714285714285714,0,0,0,0,8.571428571428571,0,0,0,0,3.8095238095238098,0,0.9523809523809524,0,0,3.8095238095238098,0,0.9523809523809524,0,0,3.8095238095238098,0,0.9375,0,0,3.75,0,0.9375,0,0,3.75,0,0.9375,0,0,3.75,0,0.9795918367346939,0,0,9.795918367346939,0,2.9387755102040813,0,0,9.795918367346939,0,2.9387755102040813,0,0,9.795918367346939,0,2.9387755102040813,0,0,9.795918367346939,0,2.981366459627329,0
padd_cycles,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16,0,0,0,0,8,0,0,0,0,12,0,0,0,0,4,0,1,0,0,4,0,1,0,0,4,0,1,0,0,5,0,1,0,0,5,0,1,0,0,5,0,1,0,0,10,0,3,0,0,10,0,3,0,0,10,0,3,0,0,10,0,3,0
padd_units_available,98,0,98,98,98,56,0,42,98,98,56,0,42,98,98,56,0,42,98,98,56,0,42,98,98,56,0,42,98,98,56,0,42,98,98,56,0,42,98,98,56,0,42,98,98,56,0,42,98,98,56,0,42,98,98,56,0,42,98,98,56,0,42,98,98,56,0,42,98,98,56,0,42,98,98,56,0,42,98,98,98
total_padd_units,98,0,98,98,98,56,0,42,98,98,56,0,42,98,98,56,0,42,98,98,56,0,42,98,98,56,0,42,98,98,56,0,42,98,98,56,0,42,98,98,56,0,42,98,98,56,0,42,98,98,56,0,42,98,98,56,0,42,98,98,56,0,42,98,98,56,0,42,98,98,56,0,42,98,98,56,0,42,98,98,98
mac_util_cycles,6400,6102,5,3,3276,5519,18325,4227,4,2775,3589,6435,3892,9,2099,3589,10481,2132,9,592,2224,4004,853,26,666,2224,2786,880,26,240,1045,1361,786,102,469,1045,1361,786,102,469,1045,2012,605,102,501,927,2807,627,196,548,927,2807,627,196,548,927,3050,466,196,470,1660,2798,802,583,897,1660,2798,802,583,897,1660,2798,802,583,897,1660,2217,953,583,1321,1297
total_mac_units,686,98,686,686,686,784,784,784,686,686,784,784,784,686,686,784,784,784,686,686,784,784,784,686,686,784,784,784,686,686,784,784,784,686,686,784,784,784,686,686,784,784,784,686,686,784,784,784,686,686,784,784,784,686,686,784,784,784,686,686,784,784,784,686,686,784,784,784,686,686,784,784,784,686,686,784,784,784,686,686,686
cycles_max_per_batch,400,140,29,50,819,337,406,126,113,826,351,463,204,162,833,351,847,113,162,847,351,807,164,260,854,351,463,134,260,308,329,439,194,351,315,329,439,194,351,315,329,767,150,351,343,329,767,157,351,344,329,767,157,351,344,329,807,117,351,281,196,647,87,351,281,196,647,87,351,281,196,647,87,351,281,196,391,103,351,407,420
dma_cycles,2365,4,4,4,6280,4672,864,384,6,4740,2040,324,216,13,7110,2040,900,216,13,1854,1090,375,150,37,3090,1090,135,225,37,1035,845,67,150,150,2070,845,67,150,150,2070,845,187,150,150,2310,1519,262,294,294,3234,1519,262,294,294,3234,1519,262,294,294,2530,3603,450,864,864,4338,3603,450,864,864,4338,3603,450,864,864,4338,3603,162,864,864,6642,6645
mac_units_available,686,98,686,686,686,392,98,294,686,686,392,98,294,686,686,392,98,294,686,686,392,98,294,686,686,392,98,294,686,686,392,98,294,686,686,392,98,294,686,686,392,98,294,686,686,392,98,294,686,686,392,98,294,686,686,392,98,294,686,686,392,98,294,686,686,392,98,294,686,686,392,98,294,686,686,392,98,294,686,686,686
