,DRAM,RF,SRAM,bench,buffer_KB,ctc100,cx,cxx,cxx2,dnn_name,dw_engines,fx,fx2,global_cycles,hxx,mac_utilization,pw1_engines,pw2_engines,total_energy,total_mac_units,wxx
23,1495174400.0,427246851.84,429653484.0,HWFC_SchedulePDP_hwcf,263.01,29.5,224.0,56.0,42.0,mnasnet1_0,2.0,112.0,84.0,180169.65625,36.0,29.66,8.0,6.0,2352074735.84,784.0,36.0
24,1506476800.0,412731881.28,451429911.0,HWFC_SchedulePDP_hwcf,384.05,27.04,112.0,112.0,42.0,mnasnet1_0,2.0,56.0,84.0,208239.125,45.0,33.11,8.0,6.0,2370638592.2799997,784.0,45.0
25,1504582400.0,416428849.92,448933644.0,HWFC_SchedulePDP_hwcf,250.74,26.87,112.0,112.0,42.0,mnasnet1_0,2.0,56.0,84.0,205331.125,36.0,33.33,8.0,6.0,2369944893.92,784.0,36.0
26,1495128000.0,402761213.76,671989810.5,HWFC_SchedulePDP_hwcf,588.24,27.4,112.0,112.0,42.0,mnasnet1_0,2.0,56.0,84.0,214454.125,56.0,32.46,8.0,6.0,2569879024.26,784.0,56.0
27,1573409600.0,454035339.84,204533388.0,HWFC_SchedulePDP_hwcf,75.24,25.11,112.0,112.0,42.0,mnasnet1_0,2.0,56.0,84.0,220040.125,18.0,35.11,8.0,6.0,2231978327.84,784.0,18.0
28,1326342400.0,434300938.56,476688951.0,HWCF_SchedulePDP_hwcf,390.77,29.3,112.0,112.0,84.0,mnasnet1_0,2.0,56.0,42.0,216572.0,45.0,46.78,8.0,6.0,2237332289.56,784.0,45.0
29,1323065600.0,616948320.0,407983500.0,HWCF_SchedulePDP_hwcf,255.46,29.01,224.0,56.0,84.0,mnasnet1_0,2.0,112.0,42.0,219228.375,36.0,39.87,8.0,6.0,2347997420.0,784.0,36.0
30,1320919200.0,600655716.0,852972904.35,HWCF_SchedulePDP_hwcf,1172.74,30.0,224.0,56.0,84.0,mnasnet1_0,2.0,112.0,42.0,225171.375,112.0,38.56,8.0,6.0,2774547820.35,784.0,112.0
31,1325830400.0,613343328.0,409927500.0,HWCF_SchedulePDP_hwcf,253.16,25.47,224.0,56.0,42.0,mnasnet1_0,2.0,112.0,84.0,247112.34375,36.0,25.76,8.0,6.0,2349101228.0,784.0,36.0
32,1373028800.0,646762776.0,319859550.0,HWCF_SchedulePDP_hwcf,171.18,27.76,224.0,56.0,84.0,mnasnet1_0,2.0,112.0,42.0,230256.375,27.0,40.55,8.0,6.0,2339651126.0,784.0,27.0
33,1384980800.0,474978895.68,214702236.0,HWCF_SchedulePDP_hwcf,116.13,26.7,112.0,112.0,84.0,mnasnet1_0,2.0,56.0,42.0,231112.0,18.0,48.13,8.0,6.0,2074661931.68,784.0,18.0
34,1321149600.0,415924238.88,871735051.55,HWCF_SchedulePDP_hwcf,1172.74,26.12,112.0,112.0,42.0,mnasnet1_0,2.0,56.0,84.0,259452.5625,112.0,32.05,8.0,6.0,2608808890.4300003,784.0,112.0
35,1325830400.0,434152323.84,419431932.0,HWCF_SchedulePDP_hwcf,255.46,25.46,112.0,112.0,42.0,mnasnet1_0,2.0,56.0,84.0,246435.5625,36.0,33.32,8.0,6.0,2179414655.84,784.0,36.0
36,1384980800.0,649053144.0,213262812.0,HWCF_SchedulePDP_hwcf,118.43,26.76,224.0,56.0,84.0,mnasnet1_0,2.0,112.0,42.0,233945.375,18.0,42.29,8.0,6.0,2247296756.0,784.0,18.0
37,1315454400.0,424429811.52,625048258.5,HWCF_SchedulePDP_hwcf,601.91,29.87,112.0,112.0,84.0,mnasnet1_0,2.0,56.0,42.0,222688.0,56.0,46.26,8.0,6.0,2364932470.02,784.0,56.0
38,1394657600.0,645551832.0,217077012.0,HWCF_SchedulePDP_hwcf,116.13,23.92,224.0,56.0,42.0,mnasnet1_0,2.0,112.0,84.0,258787.34375,18.0,29.17,8.0,6.0,2257286444.0,784.0,18.0
39,1327724800.0,430507786.56,485143731.0,HWCF_SchedulePDP_hwcf,393.06,25.65,112.0,112.0,42.0,mnasnet1_0,2.0,56.0,84.0,247688.5625,45.0,33.08,8.0,6.0,2243376317.56,784.0,45.0
40,1323065600.0,437945475.84,418122972.0,HWCF_SchedulePDP_hwcf,253.16,29.01,112.0,112.0,84.0,mnasnet1_0,2.0,56.0,42.0,218688.0,36.0,46.95,8.0,6.0,2179134047.84,784.0,36.0
41,2009224000.0,749434752.0,183598248.0,HWCF_SchedulePDP_hwcf,88.01,22.79,224.0,56.0,42.0,mnasnet1_0,2.0,112.0,84.0,377282.34375,9.0,31.47,8.0,6.0,2942257000.0,784.0,9.0
42,1326342400.0,613854312.0,473450247.0,HWCF_SchedulePDP_hwcf,393.06,29.3,224.0,56.0,84.0,mnasnet1_0,2.0,112.0,42.0,218026.375,45.0,39.61,8.0,6.0,2413646959.0,784.0,45.0
43,1321149600.0,597050724.0,883353727.71,HWCF_SchedulePDP_hwcf,1170.45,26.12,224.0,56.0,42.0,mnasnet1_0,2.0,112.0,84.0,257401.34375,112.0,24.11,8.0,6.0,2801554051.71,784.0,112.0
44,1315454400.0,605028360.0,609839050.5,HWCF_SchedulePDP_hwcf,604.21,29.85,224.0,56.0,84.0,mnasnet1_0,2.0,112.0,42.0,222108.375,56.0,38.83,8.0,6.0,2530321810.5,784.0,56.0
45,1377636800.0,463871077.44,286065378.0,HWCF_SchedulePDP_hwcf,166.8,24.52,112.0,112.0,42.0,mnasnet1_0,2.0,56.0,84.0,257191.5625,27.0,33.85,8.0,6.0,2127573255.44,784.0,27.0
46,1316376000.0,601423368.0,613148170.5,HWCF_SchedulePDP_hwcf,601.91,26.02,224.0,56.0,42.0,mnasnet1_0,2.0,112.0,84.0,251275.34375,56.0,24.41,8.0,6.0,2530947538.5,784.0,56.0
47,2009224000.0,589319744.64,181302696.0,HWCF_SchedulePDP_hwcf,90.3,22.93,112.0,112.0,42.0,mnasnet1_0,2.0,56.0,84.0,368129.3125,9.0,35.88,8.0,6.0,2779846440.64,784.0,9.0
48,1316376000.0,420636659.52,627404818.5,HWCF_SchedulePDP_hwcf,604.21,26.03,112.0,112.0,42.0,mnasnet1_0,2.0,56.0,84.0,253326.5625,56.0,32.3,8.0,6.0,2364417478.02,784.0,56.0
49,1394657600.0,471289423.68,218234196.0,HWCF_SchedulePDP_hwcf,118.43,23.86,112.0,112.0,42.0,mnasnet1_0,2.0,56.0,84.0,255605.5625,18.0,35.52,8.0,6.0,2084181219.68,784.0,18.0
50,1377636800.0,643120344.0,325880118.0,HWCF_SchedulePDP_hwcf,168.88,24.56,224.0,56.0,42.0,mnasnet1_0,2.0,112.0,84.0,256882.34375,27.0,27.03,8.0,6.0,2346637262.0,784.0,27.0
51,1373028800.0,467701669.44,285160770.0,HWCF_SchedulePDP_hwcf,164.51,27.71,112.0,112.0,84.0,mnasnet1_0,2.0,56.0,42.0,230131.0,27.0,46.86,8.0,6.0,2125891239.44,784.0,27.0
52,1973281600.0,592194752.64,176155464.0,HWCF_SchedulePDP_hwcf,89.39,25.12,112.0,112.0,84.0,mnasnet1_0,2.0,56.0,42.0,340384.75,9.0,47.25,8.0,6.0,2741631816.64,784.0,9.0
53,1973281600.0,752121600.0,178262856.0,HWCF_SchedulePDP_hwcf,90.3,24.93,224.0,56.0,84.0,mnasnet1_0,2.0,112.0,42.0,350876.375,9.0,42.97,8.0,6.0,2903666056.0,784.0,9.0
54,1320919200.0,419717390.88,842306788.19,HWCF_SchedulePDP_hwcf,1170.45,30.02,112.0,112.0,84.0,mnasnet1_0,2.0,56.0,42.0,225751.0,112.0,46.04,8.0,6.0,2582943379.07,784.0,112.0
55,1327724800.0,610249320.0,482540067.0,HWCF_SchedulePDP_hwcf,390.77,25.66,224.0,56.0,42.0,mnasnet1_0,2.0,112.0,84.0,247800.34375,45.0,25.42,8.0,6.0,2420514187.0,784.0,45.0
56,1852833600.0,656451924.48,648809509.12,FCHW_SchedulePDP_hwcf,1580.79,19.75,224.0,56.0,42.0,mnasnet1_0,2.0,112.0,84.0,462765.3125,9.0,36.04,8.0,6.0,3158095033.6,784.0,9.0
57,1650834400.0,467875326.24,999969231.79,FCHW_SchedulePDP_hwcf,1967.09,34.12,224.0,56.0,84.0,mnasnet1_0,2.0,112.0,42.0,200813.0625,112.0,41.21,8.0,6.0,3118678958.0299997,784.0,112.0
58,1757268800.0,502121463.36,722972083.04,FCHW_SchedulePDP_hwcf,1611.21,26.91,112.0,112.0,42.0,mnasnet1_0,2.0,56.0,84.0,293679.1875,18.0,35.57,8.0,6.0,2982362346.4,784.0,18.0
