,DRAM,RF,SRAM,bench,buffer_KB,ctc100,cx,cxx,cxx2,dnn_name,dw_engines,fx,fx2,global_cycles,hxx,mac_utilization,pw1_engines,pw2_engines,total_energy,total_mac_units,wxx
23,5886835200.0,1448297318.4,342316032.0,HWFC_SchedulePDP_hwcf,64.48,37.83,224.0,56.0,42.0,mobilenet,2.0,112.0,84.0,756248.875,9.0,26.74,8.0,6.0,7677448550.4,784.0,9.0
24,2958124800.0,589633624.32,913337775.0,HWFC_SchedulePDP_hwcf,476.74,41.73,112.0,112.0,84.0,mobilenet,2.0,56.0,42.0,307294.9375,45.0,44.99,8.0,6.0,4461096199.32,784.0,45.0
25,6379584000.0,1327487047.68,371792640.0,HWFC_SchedulePDP_hwcf,57.91,35.36,112.0,112.0,42.0,mobilenet,2.0,56.0,84.0,959962.5,9.0,27.59,8.0,6.0,8078863687.68,784.0,9.0
26,2968563200.0,603534504.96,905963388.0,HWFC_SchedulePDP_hwcf,336.01,41.62,112.0,112.0,84.0,mobilenet,2.0,56.0,42.0,308056.4375,36.0,45.06,8.0,6.0,4478061092.96,784.0,36.0
27,2381194400.0,665607766.56,1536907810.03,HWFC_SchedulePDP_hwcf,1194.76,35.97,224.0,56.0,42.0,mobilenet,2.0,112.0,84.0,268518.875,112.0,21.41,8.0,6.0,4583709976.59,784.0,112.0
28,2289862400.0,717306888.96,649276230.0,HWCF_SchedulePDP_hwcf,263.29,26.88,112.0,112.0,42.0,mobilenet,2.0,56.0,84.0,342441.25,27.0,25.75,8.0,6.0,3656445518.96,784.0,27.0
29,2005184000.0,600355353.6,770743932.0,HWCF_SchedulePDP_hwcf,338.3,25.1,112.0,112.0,42.0,mobilenet,2.0,56.0,84.0,300588.0,36.0,27.02,8.0,6.0,3376283285.6,784.0,36.0
30,1929610400.0,685437526.56,1394548526.83,HWCF_SchedulePDP_hwcf,1172.74,26.24,224.0,56.0,84.0,mobilenet,2.0,112.0,42.0,286084.3125,112.0,32.79,8.0,6.0,4009596453.39,784.0,112.0
31,1994745600.0,589633624.32,775531503.0,HWCF_SchedulePDP_hwcf,476.74,26.41,112.0,112.0,84.0,mobilenet,2.0,56.0,42.0,285493.3125,45.0,42.81,8.0,6.0,3359910727.32,784.0,45.0
32,5435251200.0,1464482150.4,370076352.0,HWCF_SchedulePDP_hwcf,87.77,41.66,224.0,56.0,84.0,mobilenet,2.0,112.0,42.0,620924.3125,9.0,37.66,8.0,6.0,7269809702.4,784.0,9.0
33,5446310400.0,1327487047.68,375094848.0,HWCF_SchedulePDP_hwcf,78.91,35.99,112.0,112.0,42.0,mobilenet,2.0,56.0,84.0,771237.5,9.0,23.42,8.0,6.0,7148892295.68,784.0,9.0
34,1929610400.0,529184592.0,1373217203.95,HWCF_SchedulePDP_hwcf,1170.45,25.87,112.0,112.0,84.0,mobilenet,2.0,56.0,42.0,297344.3125,112.0,41.87,8.0,6.0,3832012195.95,784.0,112.0
35,2288019200.0,854239227.84,776112537.0,HWCF_SchedulePDP_hwcf,340.73,26.8,224.0,56.0,42.0,mobilenet,2.0,112.0,84.0,342559.5625,27.0,15.56,8.0,6.0,3918370964.84,784.0,27.0
36,1994745600.0,586401388.8,777278511.0,HWCF_SchedulePDP_hwcf,479.04,24.95,112.0,112.0,42.0,mobilenet,2.0,56.0,84.0,301561.0,45.0,26.59,8.0,6.0,3358425499.8,784.0,45.0
37,1937260800.0,550123080.96,1150764166.5,HWCF_SchedulePDP_hwcf,726.26,26.08,112.0,112.0,84.0,mobilenet,2.0,56.0,42.0,285886.3125,56.0,42.17,8.0,6.0,3638148047.46,784.0,56.0
38,2004492800.0,737519043.84,764626812.0,HWCF_SchedulePDP_hwcf,365.76,25.16,224.0,56.0,42.0,mobilenet,2.0,112.0,84.0,298815.5625,36.0,15.4,8.0,6.0,3506638655.84,784.0,36.0
39,1937260800.0,705285096.0,1135523206.5,HWCF_SchedulePDP_hwcf,777.55,26.46,224.0,56.0,84.0,mobilenet,2.0,112.0,42.0,280884.3125,56.0,33.19,8.0,6.0,3778069102.5,784.0,56.0
40,1929610400.0,525915492.48,1429014874.35,HWCF_SchedulePDP_hwcf,1172.74,24.66,112.0,112.0,42.0,mobilenet,2.0,56.0,84.0,310024.0,112.0,25.84,8.0,6.0,3884540766.83,784.0,112.0
41,2289862400.0,720542565.12,624848358.0,HWCF_SchedulePDP_hwcf,260.99,29.23,112.0,112.0,84.0,mobilenet,2.0,56.0,42.0,314397.5625,27.0,43.09,8.0,6.0,3635253323.12,784.0,27.0
42,1929610400.0,665607766.56,1457966426.35,HWCF_SchedulePDP_hwcf,1170.45,24.75,224.0,56.0,42.0,mobilenet,2.0,112.0,84.0,300015.5625,112.0,13.33,8.0,6.0,4053184592.91,784.0,112.0
43,2447635200.0,766583404.8,433670316.0,HWCF_SchedulePDP_hwcf,134.49,27.71,112.0,112.0,42.0,mobilenet,2.0,56.0,84.0,357534.0,18.0,27.0,8.0,6.0,3647888920.8,784.0,18.0
44,2004492800.0,756786627.84,758955516.0,HWCF_SchedulePDP_hwcf,368.05,26.99,224.0,56.0,84.0,mobilenet,2.0,112.0,42.0,280427.3125,36.0,34.59,8.0,6.0,3520234943.84,784.0,36.0
45,2444179200.0,898664443.2,516259554.0,HWCF_SchedulePDP_hwcf,167.63,27.58,224.0,56.0,42.0,mobilenet,2.0,112.0,84.0,361932.5625,18.0,17.74,8.0,6.0,3859103197.2,784.0,18.0
46,5446310400.0,1330172958.72,366193344.0,HWCF_SchedulePDP_hwcf,77.14,43.0,112.0,112.0,84.0,mobilenet,2.0,56.0,42.0,609460.8125,9.0,44.67,8.0,6.0,7142676702.72,784.0,9.0
47,1937260800.0,546874256.64,1153489654.5,HWCF_SchedulePDP_hwcf,728.55,24.78,112.0,112.0,42.0,mobilenet,2.0,56.0,84.0,299661.0,56.0,26.05,8.0,6.0,3637624711.14,784.0,56.0
48,2005184000.0,603534504.96,769136892.0,HWCF_SchedulePDP_hwcf,336.01,26.65,112.0,112.0,84.0,mobilenet,2.0,56.0,42.0,283451.3125,36.0,43.14,8.0,6.0,3377855396.96,784.0,36.0
49,5435251200.0,1448297318.4,380483136.0,HWCF_SchedulePDP_hwcf,85.48,34.93,224.0,56.0,42.0,mobilenet,2.0,112.0,84.0,783952.5625,9.0,16.97,8.0,6.0,7264031654.4,784.0,9.0
50,2288019200.0,873860091.84,770371257.0,HWCF_SchedulePDP_hwcf,343.02,29.38,224.0,56.0,84.0,mobilenet,2.0,112.0,42.0,313264.3125,27.0,35.2,8.0,6.0,3932250548.84,784.0,27.0
51,1994054400.0,744571598.4,765350127.0,HWCF_SchedulePDP_hwcf,510.68,26.74,224.0,56.0,84.0,mobilenet,2.0,112.0,42.0,281299.3125,45.0,34.1,8.0,6.0,3503976125.4,784.0,45.0
52,1994054400.0,724972238.4,771161391.0,HWCF_SchedulePDP_hwcf,508.38,25.0,224.0,56.0,42.0,mobilenet,2.0,112.0,84.0,298832.5625,45.0,14.73,8.0,6.0,3490188029.4,784.0,45.0
53,1937260800.0,685582056.0,1144345078.5,HWCF_SchedulePDP_hwcf,775.26,24.88,224.0,56.0,42.0,mobilenet,2.0,112.0,84.0,295910.5625,56.0,13.72,8.0,6.0,3767187934.5,784.0,56.0
54,2447635200.0,769608833.28,418596972.0,HWCF_SchedulePDP_hwcf,132.2,30.67,112.0,112.0,84.0,mobilenet,2.0,56.0,42.0,319625.3125,18.0,44.7,8.0,6.0,3635841005.2799997,784.0,18.0
55,2444179200.0,916971259.2,512658402.0,HWCF_SchedulePDP_hwcf,169.93,30.75,224.0,56.0,84.0,mobilenet,2.0,112.0,42.0,321400.3125,18.0,37.35,8.0,6.0,3873808861.2,784.0,18.0
56,2426758400.0,656243810.88,1257710528.28,FCHW_SchedulePDP_hwcf,1825.91,60.46,224.0,56.0,42.0,mobilenet,2.0,112.0,84.0,361546.3125,45.0,17.77,8.0,6.0,4340712739.16,784.0,45.0
