,DRAM,RF,SRAM,bench,buffer_KB,ctc100,cx,cxx,cxx2,dnn_name,dw_engines,fx,fx2,global_cycles,hxx,mac_utilization,pw1_engines,pw2_engines,total_energy,total_mac_units,wxx
23,11928396800.0,3194781726.72,3030058368.0,HWFC_SchedulePDP_hwcf,1089.87,252.26,112.0,112.0,42.0,resnet50_1,0.0,56.0,84.0,785311.09375,112.0,67.29,7.0,9.0,18153236894.72,784.0,112.0
24,11316249600.0,3194000701.44,3803097011.2,HWFC_SchedulePDP_hwcf,1069.2,178.98,224.0,56.0,42.0,resnet50_1,0.0,112.0,84.0,745671.65625,56.0,74.41,7.0,9.0,18313347312.64,784.0,56.0
25,11928396800.0,3194781726.72,3030058368.0,HWFC_SchedulePDP_hwcf,1089.87,252.26,112.0,112.0,42.0,resnet50_1,0.0,56.0,84.0,785311.09375,36.0,67.29,7.0,9.0,18153236894.72,784.0,36.0
26,11316249600.0,3194000701.44,3803097011.2,HWFC_SchedulePDP_hwcf,1069.2,178.98,224.0,56.0,42.0,resnet50_1,0.0,112.0,84.0,745671.65625,112.0,74.41,7.0,9.0,18313347312.64,784.0,112.0
27,11564288000.0,3492132188.16,1978978176.0,HWFC_SchedulePDP_hwcf,500.72,177.98,224.0,56.0,42.0,resnet50_1,0.0,112.0,84.0,766436.65625,18.0,74.23,7.0,9.0,17035398364.16,784.0,18.0
28,8988083200.0,3197706270.72,4103009484.8,HWCF_SchedulePDP_hwcf,1553.07,151.55,112.0,112.0,84.0,resnet50_1,0.0,56.0,42.0,639732.875,56.0,68.77,7.0,9.0,16288798955.519999,784.0,56.0
29,11489587200.0,4652796518.4,1795385856.0,HWCF_SchedulePDP_hwcf,389.32,140.75,224.0,56.0,42.0,resnet50_1,0.0,112.0,84.0,827756.96875,9.0,73.29,7.0,9.0,17937769574.4,784.0,9.0
30,8988083200.0,3194612275.2,3087906004.48,HWCF_SchedulePDP_hwcf,1402.24,173.37,224.0,56.0,84.0,resnet50_1,0.0,112.0,42.0,586242.125,36.0,61.43,7.0,9.0,15270601479.68,784.0,36.0
31,9147648000.0,3492747202.56,2233274976.0,HWCF_SchedulePDP_hwcf,739.54,171.57,224.0,56.0,84.0,resnet50_1,0.0,112.0,42.0,598136.125,18.0,61.31,7.0,9.0,14873670178.56,784.0,18.0
32,8988083200.0,3194000701.44,3449506739.2,HWCF_SchedulePDP_hwcf,1252.95,133.29,224.0,56.0,42.0,resnet50_1,0.0,112.0,84.0,624620.96875,36.0,74.41,7.0,9.0,15631590640.640001,784.0,36.0
33,9236121600.0,3495849553.92,4131566643.2,HWCF_SchedulePDP_hwcf,1362.38,152.3,112.0,112.0,84.0,resnet50_1,0.0,56.0,42.0,660055.125,27.0,68.6,7.0,9.0,16863537797.12,784.0,27.0
34,8988083200.0,3194000701.44,3449506739.2,HWCF_SchedulePDP_hwcf,1252.95,133.29,224.0,56.0,42.0,resnet50_1,0.0,112.0,84.0,624620.96875,112.0,74.41,7.0,9.0,15631590640.640001,784.0,112.0
35,8988083200.0,3194612275.2,3087906004.48,HWCF_SchedulePDP_hwcf,1402.24,173.37,224.0,56.0,84.0,resnet50_1,0.0,112.0,42.0,586242.125,112.0,61.43,7.0,9.0,15270601479.68,784.0,112.0
36,9147648000.0,3492916654.08,3098494656.0,HWCF_SchedulePDP_hwcf,1272.15,174.21,112.0,112.0,42.0,resnet50_1,0.0,56.0,84.0,601434.59375,27.0,67.35,7.0,9.0,15739059310.08,784.0,27.0
