,DRAM,RF,SRAM,bench,buffer_KB,ctc100,cx,cxx,cxx2,dnn_name,dw_engines,fx,fx2,global_cycles,hxx,mac_utilization,pw1_engines,pw2_engines,total_energy,total_mac_units,wxx
0,2341556800.0,947113885.2,4829817499.92,FuseLayer_hwcf,399.48,0.05,0.0,112.0,84.0,mnasnet1_0,0.0,56.0,42.0,163460001.0,224.0,62.25,0.0,0.0,8118488185.12,9800.0,224.0
1,2341556800.0,947774538.48,4829816911.92,FuseLayer_hwcf,399.48,0.05,0.0,112.0,42.0,mnasnet1_0,0.0,56.0,84.0,163460001.0,224.0,62.26,0.0,0.0,8119148250.4,9800.0,224.0
2,2534017600.0,946664447.4,4838926166.76,FuseLayer_hwcf,399.43,0.04,0.0,56.0,84.0,mnasnet1_0,0.0,112.0,42.0,165771234.0,224.0,69.01,0.0,0.0,8319608214.16,9800.0,224.0
3,2534017600.0,946664153.4,4838925872.76,FuseLayer_hwcf,399.43,0.04,0.0,56.0,42.0,mnasnet1_0,0.0,112.0,84.0,165771234.0,224.0,69.01,0.0,0.0,8319607626.16,9800.0,224.0
