,name,type,kernel_size,ifm,ifm_vol,ofm,ofm_vol,wgt_vol,mac,attr_type,groups,stride,padding,bias
11,layer2.0.conv1,Conv2d,"(1, 1)","(1, 256, 56, 56)",802816,"(1, 128, 56, 56)",401408,32768,102760448,PW,1,"(1, 1)","(0, 0)",False
12,layer2.0.conv2,Conv2d,"(3, 3)","(1, 128, 56, 56)",401408,"(1, 128, 28, 28)",100352,147456,115605504,3d,1,"(2, 2)","(1, 1)",False
