,name,type,kernel_size,ifm,ifm_vol,ofm,ofm_vol,wgt_vol,mac,attr_type,groups,stride,padding,bias
43,layer4.0.conv1,Conv2d,"(1, 1)","(1, 1024, 14, 14)",200704,"(1, 512, 14, 14)",100352,524288,102760448,PW,1,"(1, 1)","(0, 0)",False
44,layer4.0.conv2,Conv2d,"(3, 3)","(1, 512, 14, 14)",100352,"(1, 512, 7, 7)",25088,2359296,115605504,3d,1,"(2, 2)","(1, 1)",False
