,name,type,kernel_size,ifm,ifm_vol,ofm,ofm_vol,wgt_vol,mac,attr_type,groups,stride,padding,bias
44,layer4.0.conv2,Conv2d,"(3, 3)","(1, 512, 14, 14)",100352,"(1, 512, 7, 7)",25088,2359296,115605504,3d,1,"(2, 2)","(1, 1)",False
45,layer4.0.conv3,Conv2d,"(1, 1)","(1, 512, 7, 7)",25088,"(1, 2048, 7, 7)",100352,1048576,51380224,PW,1,"(1, 1)","(0, 0)",False
