in_dma_act,200704,207872,602112,602112,802816,207872,602112,802816,207872,602112,1605632,831488,501760,4014080,802816,215040,501760,802816,215040,501760,802816,215040,501760,1204224,645120,501760,4014080,602112,172032,501760,602112,172032,501760,602112,172032,501760,602112,172032,501760,602112,172032,501760,1003520,573440,476672,3813376,501760,125440,476672,501760,125440,476672
in_dma_wgt,200704,1806336,802816,802816,802816,1806336,802816,802816,1806336,802816,1605632,7225344,1048576,6422528,1048576,2359296,1048576,1048576,2359296,1048576,1048576,2359296,1048576,2097152,9437184,1048576,8388608,1048576,2359296,1048576,1048576,2359296,1048576,1048576,2359296,1048576,1048576,2359296,1048576,1048576,2359296,1048576,2097152,9437184,1048576,8388608,1048576,2359296,1048576,1048576,2359296,1048576
out_dma_act,200704,121088,802816,802816,200704,121088,802816,200704,121088,802816,401408,163200,401408,888832,100352,61952,401408,100352,61952,401408,100352,61952,401408,200704,86528,200704,458752,50176,30720,200704,50176,30720,200704,50176,30720,200704,50176,30720,200704,50176,30720,200704,100352,43008,100352,229376,25088,12800,100352,25088,12800,100352
mem_wgt,3584,32256,6272,6272,3584,32256,6272,3584,32256,6272,6272,56448,6272,6272,6272,56448,6272,6272,56448,6272,6272,56448,6272,6272,56448,6272,6272,6272,56448,6272,6272,56448,6272,6272,56448,6272,6272,56448,6272,6272,56448,6272,6272,56448,6272,6272,6272,56448,6272,6272,56448,6272
mem_in_act,4536,4536,4536,4536,4536,4536,4536,4536,4536,4536,4536,4536,4536,4536,4536,4536,4536,4536,4536,4536,4536,4536,4536,4536,4536,4536,4536,4536,4536,4536,4536,4536,4536,4536,4536,4536,4536,4536,4536,4536,4536,4536,4536,4536,2744,4536,2744,2744,2744,2744,2744,2744
mem_out_act,5184,3136,9072,9072,5184,3136,9072,5184,3136,9072,9072,3584,9072,5040,9072,5488,9072,9072,5488,9072,9072,5488,9072,9072,3584,9072,5040,9072,5488,9072,9072,5488,9072,9072,5488,9072,9072,5488,9072,9072,5488,9072,9072,3584,5488,5040,5488,2800,5488,5488,2800,5488
mem_partial_product,5184,3136,9072,9072,5184,3136,9072,5184,3136,9072,9072,3584,9072,5040,9072,5488,9072,9072,5488,9072,9072,5488,9072,9072,3584,9072,5040,9072,5488,9072,9072,5488,9072,9072,5488,9072,9072,5488,9072,9072,5488,9072,9072,3584,5488,5040,5488,2800,5488,5488,2800,5488
mem_wgt_accesses,200704,1806336,802816,802816,802816,1806336,802816,802816,1806336,802816,1605632,7225344,1048576,6422528,1048576,2359296,1048576,1048576,2359296,1048576,1048576,2359296,1048576,2097152,9437184,1048576,8388608,1048576,2359296,1048576,1048576,2359296,1048576,1048576,2359296,1048576,1048576,2359296,1048576,1048576,2359296,1048576,2097152,9437184,1048576,8388608,1048576,2359296,1048576,1048576,2359296,1048576
mem_in_act_accesses,401408,683008,1204224,1204224,1605632,683008,1204224,1605632,683008,1204224,3211264,1930240,1003520,6307840,1605632,706560,1003520,1605632,706560,1003520,1605632,706560,1003520,2408448,1497600,1003520,6307840,1204224,540672,1003520,1204224,540672,1003520,1204224,540672,1003520,1204224,540672,1003520,1204224,540672,1003520,2007040,1310720,953344,5992448,1003520,394240,953344,1003520,394240,953344
mem_out_act_accesses,602112,363264,2408448,2408448,1204224,363264,2408448,1204224,363264,2408448,2408448,652800,1605632,5332992,1103872,247808,1605632,1103872,247808,1605632,1103872,247808,1605632,2207744,519168,1204224,5046272,1003520,184320,1204224,1003520,184320,1204224,1003520,184320,1204224,1003520,184320,1204224,1003520,184320,1204224,2007040,473088,1103872,4587520,953344,140800,1103872,953344,140800,1103872
