in_dma_act,150528,415872,32,8,401408,200704,0,0,4,301056,150528,0,0,6,451584,150528,0,0,6,112896,94080,0,0,10,188160,94080,0,0,10,47040,15680,0,0,20,94080,15680,0,0,20,94080,15680,0,0,20,94080,21952,0,0,28,131712,21952,0,0,28,131712,21952,0,0,28,32928,9408,0,0,48,56448,9408,0,0,48,56448,9408,0,0,48,56448,9408,0,0,48,56448,15680
in_dma_wgt,864,288,256,256,512,1536,864,384,384,2304,3456,20736,21600,864,3456,3456,57600,7776,864,5760,9600,24000,21600,2400,9600,9600,8640,9600,2400,19200,38400,4320,38400,9600,38400,38400,4320,38400,9600,38400,38400,12000,38400,9600,53760,75264,16800,75264,18816,75264,75264,16800,75264,18816,75264,75264,16800,18816,18816,129024,221184,28800,55296,55296,221184,221184,28800,55296,55296,221184,221184,28800,55296,55296,221184,221184,10368,55296,55296,368640,409600
out_dma_act,1591328,307328,8,32,200704,0,0,12544,96,75264,0,0,18816,144,75264,0,0,4704,144,31360,0,0,7840,240,31360,0,0,1960,240,15680,0,0,3920,480,15680,0,0,3920,480,15680,0,0,3920,480,21952,0,0,5488,672,21952,0,0,5488,672,21952,0,0,1372,672,9408,0,0,2352,1152,9408,0,0,2352,1152,9408,0,0,2352,1152,9408,0,0,2352,1152,15680,62720
mem_wgt,864,288,256,256,512,1536,864,384,384,2304,2688,1008,672,864,3456,2688,2800,672,864,5760,4480,2800,1120,2400,9600,4480,1008,1120,2400,19200,8960,1008,2240,6720,26880,8960,1008,2240,6720,26880,8960,2800,2240,6720,37632,12544,2800,3136,9408,37632,12544,2800,3136,9408,37632,12544,2800,3136,9408,64512,21504,2800,5376,16128,64512,21504,2800,5376,16128,64512,21504,2800,5376,16128,64512,21504,1008,5376,16128,107520,107520
mem_in_act,2352,7200,32,8,25088,3600,0,0,4,75264,5400,0,0,6,112896,5400,0,0,6,112896,9000,0,0,10,188160,9000,0,0,10,47040,15680,0,0,20,65856,15680,0,0,20,65856,15680,0,0,20,65856,21952,0,0,28,65856,21952,0,0,28,65856,21952,0,0,28,16464,9408,0,0,48,16464,9408,0,0,48,16464,9408,0,0,48,16464,9408,0,0,48,16464,15680
mem_out_act,1591328,5408,8,32,200704,1204224,9408,676,96,75264,351232,18928,1014,144,75264,351232,8736,1014,144,31360,87808,13552,1690,240,31360,87808,10976,1690,240,15680,21952,16128,3380,480,15680,21952,16128,3380,480,15680,21952,11200,3380,480,21952,21952,11200,4732,672,21952,21952,11200,4732,672,21952,21952,6720,1372,672,9408,5488,1008,2352,1152,9408,5488,1008,2352,1152,9408,5488,1008,2352,1152,9408,5488,2800,2352,1152,15680,62720
mem_partial_product,0,0,0,0,0,0,0,0,0,0,0,0,1014,0,0,0,0,1014,0,0,0,0,1690,0,0,0,0,1690,0,0,0,0,3380,0,15680,0,0,3380,0,15680,0,0,3380,0,21952,0,0,4732,0,21952,0,0,4732,0,21952,0,0,1372,0,9408,0,0,2352,0,9408,0,0,2352,0,9408,0,0,2352,0,9408,0,0,2352,0,15680,0
mem_wgt_accesses,864,288,256,256,512,1536,864,384,384,2304,3456,20736,21600,864,3456,3456,57600,7776,864,5760,9600,24000,21600,2400,9600,9600,8640,9600,2400,19200,38400,4320,38400,9600,38400,38400,4320,38400,9600,38400,38400,12000,38400,9600,53760,75264,16800,75264,18816,75264,75264,16800,75264,18816,75264,75264,16800,18816,18816,129024,221184,28800,55296,55296,221184,221184,28800,55296,55296,221184,221184,28800,55296,55296,221184,221184,10368,55296,55296,368640,409600
mem_in_act_accesses,365568,1488384,64,16,802816,401408,1740096,301056,8,602112,301056,1252800,451584,12,903168,301056,1036800,112896,12,225792,188160,792000,188160,20,376320,188160,302400,47040,20,94080,94080,241920,94080,60,188160,94080,241920,94080,60,188160,94080,336000,94080,60,188160,153664,470400,131712,84,263424,153664,470400,131712,84,263424,153664,244608,32928,84,65856,112896,120960,56448,240,112896,112896,120960,56448,240,112896,112896,120960,56448,240,112896,112896,120960,56448,240,112896,78400
mem_out_act_accesses,2310176,614656,16,64,401408,1204224,539328,25088,192,150528,451584,360000,56448,288,150528,451584,179712,14112,288,62720,188160,116160,31360,480,62720,188160,94080,7840,480,31360,94080,69120,23520,960,47040,94080,69120,23520,960,47040,94080,48000,23520,960,65856,131712,67200,38416,1344,65856,131712,67200,38416,1344,65856,131712,40320,9604,1344,28224,56448,10368,28224,2304,47040,56448,10368,28224,2304,47040,56448,10368,28224,2304,47040,56448,28800,28224,2304,78400,125440
